timestamp,satellite_id,snr,pseudorange_residual,lat,lon
2025-10-30T09:00:10Z,G01,33.9,0.48,-33.8655,151.2095
2025-10-30T09:00:10Z,G03,36.2,0.30,-33.8655,151.2095
2025-10-30T09:00:10Z,G07,30.4,0.65,-33.8656,151.2096
2025-10-30T09:00:10Z,G09,22.1,0.90,-33.8656,151.2096
2025-10-30T09:00:10Z,G11,24.1,0.88,-33.8656,151.2096
2025-10-30T09:00:10Z,G14,40.2,0.20,-33.8656,151.2096
2025-10-30T09:00:10Z,G17,21.3,1.10,-33.8656,151.2096
2025-10-30T09:00:10Z,G20,29.1,0.70,-33.8656,151.2096
2025-10-30T09:00:12Z,G01,33.1,0.52,-33.8656,151.2096
2025-10-30T09:00:12Z,G03,35.0,0.33,-33.8656,151.2097
2025-10-30T09:00:12Z,G07,29.0,0.70,-33.8656,151.2097
2025-10-30T09:00:12Z,G09,25.6,0.75,-33.8657,151.2097
2025-10-30T09:00:12Z,G11,22.7,0.95,-33.8657,151.2097
2025-10-30T09:00:12Z,G14,39.3,0.22,-33.8657,151.2097
2025-10-30T09:00:12Z,G17,23.0,1.00,-33.8657,151.2097
2025-10-30T09:00:12Z,G20,27.8,0.75,-33.8657,151.2097
2025-10-30T09:00:14Z,G01,14.2,1.80,-33.8657,151.2097
2025-10-30T09:00:14Z,G03,13.5,1.95,-33.8657,151.2097
2025-10-30T09:00:14Z,G07,9.1,2.60,-33.8658,151.2098
2025-10-30T09:00:14Z,G09,28.0,0.62,-33.8658,151.2098
2025-10-30T09:00:14Z,G11,21.3,1.02,-33.8658,151.2098
2025-10-30T09:00:14Z,G14,38.4,0.24,-33.8658,151.2098
2025-10-30T09:00:14Z,G17,24.7,0.95,-33.8658,151.2098
2025-10-30T09:00:14Z,G20,26.5,0.80,-33.8658,151.2098
2025-10-30T09:00:16Z,G01,17.8,1.50,-33.8658,151.2099
2025-10-30T09:00:16Z,G03,16.2,1.70,-33.8658,151.2099
2025-10-30T09:00:16Z,G07,12.4,2.20,-33.8659,151.2099
2025-10-30T09:00:16Z,G09,30.5,0.55,-33.8659,151.2099
2025-10-30T09:00:16Z,G11,22.8,0.98,-33.8659,151.2099
2025-10-30T09:00:16Z,G14,37.5,0.26,-33.8659,151.2099
2025-10-30T09:00:16Z,G17,26.3,0.90,-33.8659,151.2099
2025-10-30T09:00:16Z,G20,25.2,0.85,-33.8659,151.2099
2025-10-30T09:00:18Z,G01,22.5,0.92,-33.8659,151.2100
2025-10-30T09:00:18Z,G03,21.0,1.10,-33.8659,151.2100
2025-10-30T09:00:18Z,G07,18.0,1.45,-33.8660,151.2100
2025-10-30T09:00:18Z,G09,33.0,0.48,-33.8660,151.2100
2025-10-30T09:00:18Z,G11,24.3,0.92,-33.8660,151.2100
2025-10-30T09:00:18Z,G14,36.6,0.28,-33.8660,151.2100
2025-10-30T09:00:18Z,G17,27.9,0.85,-33.8660,151.2100
2025-10-30T09:00:18Z,G20,30.8,0.70,-33.8660,151.2100
2025-10-30T09:00:20Z,G01,28.3,0.70,-33.8660,151.2101
2025-10-30T09:00:20Z,G03,26.5,0.82,-33.8660,151.2101
2025-10-30T09:00:20Z,G07,23.2,1.10,-33.8661,151.2101
2025-10-30T09:00:20Z,G09,35.5,0.41,-33.8661,151.2101
2025-10-30T09:00:20Z,G11,25.8,0.86,-33.8661,151.2101
2025-10-30T09:00:20Z,G14,35.7,0.30,-33.8661,151.2101
2025-10-30T09:00:20Z,G17,29.5,0.80,-33.8661,151.2101
2025-10-30T09:00:20Z,G20,29.4,0.74,-33.8661,151.2101
2025-10-30T09:00:22Z,G01,11.2,2.30,-33.8661,151.2102
2025-10-30T09:00:22Z,G03,10.5,2.50,-33.8661,151.2102
2025-10-30T09:00:22Z,G07,7.8,3.10,-33.8662,151.2102
2025-10-30T09:00:22Z,G09,37.0,0.36,-33.8662,151.2102
2025-10-30T09:00:22Z,G11,27.3,0.80,-33.8662,151.2102
2025-10-30T09:00:22Z,G14,34.8,0.32,-33.8662,151.2102
2025-10-30T09:00:22Z,G17,31.1,0.75,-33.8662,151.2102
2025-10-30T09:00:22Z,G20,28.0,0.78,-33.8662,151.2102
2025-10-30T09:00:24Z,G01,15.6,1.65,-33.8662,151.2103
2025-10-30T09:00:24Z,G03,14.8,1.80,-33.8662,151.2103
2025-10-30T09:00:24Z,G07,11.0,2.40,-33.8663,151.2103
2025-10-30T09:00:24Z,G09,38.5,0.33,-33.8663,151.2103
2025-10-30T09:00:24Z,G11,28.8,0.74,-33.8663,151.2103
2025-10-30T09:00:24Z,G14,33.9,0.34,-33.8663,151.2103
2025-10-30T09:00:24Z,G17,32.7,0.70,-33.8663,151.2103
2025-10-30T09:00:24Z,G20,26.6,0.82,-33.8663,151.2103
2025-10-30T09:00:26Z,G01,20.1,1.20,-33.8663,151.2104
2025-10-30T09:00:26Z,G03,19.4,1.35,-33.8663,151.2104
2025-10-30T09:00:26Z,G07,16.7,1.60,-33.8664,151.2104
2025-10-30T09:00:26Z,G09,40.0,0.30,-33.8664,151.2104
2025-10-30T09:00:26Z,G11,30.3,0.68,-33.8664,151.2104
2025-10-30T09:00:26Z,G14,33.0,0.36,-33.8664,151.2104
2025-10-30T09:00:26Z,G17,34.3,0.65,-33.8664,151.2104
2025-10-30T09:00:26Z,G20,25.2,0.86,-33.8664,151.2104
2025-10-30T09:00:28Z,G01,25.8,0.84,-33.8664,151.2105
2025-10-30T09:00:28Z,G03,24.2,1.00,-33.8664,151.2105
2025-10-30T09:00:28Z,G07,21.3,1.25,-33.8665,151.2105
2025-10-30T09:00:28Z,G09,41.5,0.27,-33.8665,151.2105
2025-10-30T09:00:28Z,G11,31.8,0.62,-33.8665,151.2105
2025-10-30T09:00:28Z,G14,32.1,0.38,-33.8665,151.2105
2025-10-30T09:00:28Z,G17,35.9,0.60,-33.8665,151.2105
2025-10-30T09:00:28Z,G20,35.8,0.62,-33.8665,151.2105
2025-10-30T09:00:30Z,G01,31.4,0.60,-33.8665,151.2106
2025-10-30T09:00:30Z,G03,29.0,0.75,-33.8665,151.2106
2025-10-30T09:00:30Z,G07,26.0,1.00,-33.8666,151.2106
2025-10-30T09:00:30Z,G09,43.0,0.24,-33.8666,151.2106
2025-10-30T09:00:30Z,G11,33.3,0.56,-33.8666,151.2106
2025-10-30T09:00:30Z,G14,31.2,0.40,-33.8666,151.2106
2025-10-30T09:00:30Z,G17,37.5,0.55,-33.8666,151.2106
2025-10-30T09:00:30Z,G20,37.2,0.58,-33.8666,151.2106
